NEW_IMLOCI,NEW_NAME,Area_km,NPS Watershed Ownership Percent,Prot_area_pct (PAD),Watershed_Percent_Impervious_NLCD2019,roads_km_km2,,AvgPredEC,F50Pct_PL,,1992 (lbs salt / km2),1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,"NLCD06 Developed, open (21)","NLCD06 Developed, low (22)","NLCD06 Developed, medium (23)","NLCD06 Developed, high (24)",NLCD06 Deciduous forest (41),NLCD06 Evergreen forest (42),NLCD06 Mixed forest (43),NLCD06 Pasture (81),NLCD06 Crops (82),,"NLCD19 Developed, open (21)","NLCD19 Developed, low (22)","NLCD19 Developed, medium (23)","NLCD19 Developed, high (24)",NLCD19 Deciduous forest (41),NLCD19 Evergreen forest (42),NLCD19 Mixed forest (43),NLCD19 Pasture (81),NLCD19 Crops (82),,"Change Developed, open (21)","Change Developed, low (22)","Change Developed, medium (23)","Change Developed, high (24)",Change Deciduous forest (41),Change Evergreen forest (42),Change Mixed forest (43),Change Pasture (81),Change Crops (82)
NCRN_CHOH_MUBR,Muddy Branch,48.412,0.044,15.953,22.4569177,7.453,,73.75801105,162.6483791,,28732.00875,23960.84522,44065.74877,34418.39413,35663.70162,40324.66252,11450.41052,27176.70695,25831.48568,10409.4629,3911.075973,7426.59196,5826.257013,8831.228853,10279.58571,8074.18192,6816.081012,8442.085788,28791.78396,16982.7167,12088.27895,18789.3895,47696.14219,112292.8831,99783.43556,90785.48636,109357.117,91953.40446,,0.286,0.215,0.135,0.039,0.204,0.002,0.019,0.07,0,,0.284,0.215,0.145,0.046,0.203,0.002,0.021,0.057,0,,-0.002,0,0.01,0.007,-0.001,0,0.002,-0.013,0
NCRN_CHOH_SVSR,Seven Springs Run,56.165,1.402,34.992,0.719971161,1.759,,222.0138122,336.1066262,,13145.91101,10962.93498,20161.64017,15747.63385,16317.40569,16213.74502,4603.982302,10927.21322,10386.32631,4185.437988,1572.565881,2986.084982,2342.622078,3550.861575,4133.21695,3088.282562,2607.073248,3229.001533,11012.52906,6495.695577,4623.628972,7186.72746,18243.23065,42950.74729,39924.14006,36323.98961,43754.64603,36791.28288,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,0
NCRN_GWMP_DERU,Dead Run,6.882,2.058,5.609,19.88132932,9.766,,60.58729282,142.7188053,,4824.899414,15524.46819,20783.40723,15988.78836,38538.63253,18567.30762,12569.08803,25662.2899,14413.20082,7764.686837,6397.422782,13182.88602,8143.215332,12602.08747,6663.266776,9112.908343,8474.19887,11327.08545,25582.13295,13100.75551,5705.773228,16347.7906,31484.98228,51361.34403,43631.53432,37778.52511,48345.68248,40616.34989,,0.316,0.296,0.087,0.016,0.18,0.002,0.088,0.011,0,,0.309,0.304,0.1,0.018,0.165,0.001,0.083,0.011,0,,-0.007,0.008,0.013,0.002,-0.015,-0.001,-0.005,0,0
NCRN_GWMP_DIRU,Difficult Run,149.89,0.649,10.815,15.0667071,7.244,,69.18618785,155.8831026,,2860.948065,9205.310297,12323.62417,9480.631574,22851.67352,11839.93097,8015.008504,16364.23221,9190.955543,4951.35638,4079.48445,8406.413257,5192.734911,8036.051735,4249.006805,6032.413078,5609.610792,7498.117612,16934.43936,8672.222542,3777.013768,10821.64125,20841.91092,33999.33689,28982.64167,25094.72741,32114.0571,26979.77824,,0.302,0.172,0.077,0.024,0.275,0.002,0.077,0.02,0,,0.3,0.175,0.082,0.026,0.268,0.002,0.077,0.017,0,,-0.002,0.003,0.005,0.002,-0.007,0,0,-0.003,0
NCRN_GWMP_DORU,Donaldson Run,2.647,0.826,13.94,13.0067981,8.381,,69.12375691,155.7896567,,3974.924683,12789.61182,17122.11377,13172.13574,31749.50293,15260.20264,10330.35205,21091.46582,11846.00195,6381.684326,5257.949707,10834.82422,6692.79126,10357.47412,5476.442871,7481.585449,6957.212891,9299.397461,21002.61523,10755.55859,4684.369141,13421.33398,25848.7832,42167.0293,35590.61133,30816.26172,39435.98047,33131.09863,,0.438,0.214,0.038,0.005,0.235,0,0.063,0.005,0,,0.426,0.218,0.048,0.006,0.233,0,0.063,0.005,0,,-0.012,0.004,0.01,0.001,-0.002,0,0,0,0
NCRN_GWMP_GUBR,Gulf Branch,2.117,2.017,12.282,18.77574468,10.299,,0,0,,4593.535645,14780.03809,19786.80029,15222.09424,36690.62793,17635.12354,11938.04834,24373.89648,13689.57617,7374.855469,6076.23584,12521.03027,7734.379639,11969.39111,6328.732666,8662.888428,8055.720215,10767.72363,24318.81738,12453.80469,5424.006592,15540.4917,29930.16797,48824.98047,41534.99805,35963.23047,46022.625,38664.69531,,0.379,0.388,0.03,0,0.148,0.002,0.041,0.006,0,,0.377,0.397,0.045,0.002,0.128,0.002,0.039,0.006,0,,-0.002,0.009,0.015,0.002,-0.02,0,-0.002,0,0
NCRN_GWMP_MICR,Minnehaha Creek,3.502,0.058,2.741,20.59399076,11.949,,80.09337017,171.7857332,,53478.95964,44598.38281,82019.6901,64063.04427,66380.9375,65796.95573,18683.40951,44343.69531,42148.72396,16984.91504,6381.625326,12117.82324,9506.588542,14409.74154,16772.99674,12104.77214,10218.63346,12656.33171,43164.49479,25460.40169,18122.6849,28168.95573,71505.8099,168348.9063,152533.6198,138778.9297,167168.3958,140564.2656,,0.422,0.433,0.044,0.006,0.079,0.001,0.013,0,0,,0.418,0.434,0.052,0.007,0.074,0.001,0.013,0,0,,-0.004,0.001,0.008,0.001,-0.005,0,0,0,0
NCRN_GWMP_MIRU,Mine Run,6.498,5.268,7.725,3.875797061,4.404,,67.26243094,152.9899541,,1736.215759,5586.40152,7478.804199,5753.485016,13867.93286,7382.193542,4997.355621,10203.09418,5730.558228,3087.169327,2543.557449,5241.396332,3237.668762,5010.475983,2649.254547,3740.792511,3478.606323,4649.698517,10501.30743,5377.779205,2342.184601,6710.666931,12924.39105,21083.51428,17694.16138,15320.5553,19605.9187,16471.39587,,0.417,0.043,0.008,0,0.4,0.002,0.081,0.018,0,,0.417,0.046,0.013,0.001,0.394,0.002,0.081,0.017,0,,0,0.003,0.005,0.001,-0.006,0,0,-0.001,0
NCRN_GWMP_PIRU,Pimmit Run,27.783,1.897,7.253,23.99368196,10.729,,70.96574586,158.5344826,,4787.238171,15403.29029,20621.17994,15863.98685,38237.81543,18407.86278,12461.15184,25441.9169,14289.42868,7698.008466,6342.485454,13069.67939,8073.286267,12493.86824,6606.046481,9120.166661,8480.948604,11336.10736,25602.50882,13111.19015,5710.317698,16360.81118,31510.06017,51402.25145,43233.59457,37433.9678,47904.74735,40245.91047,,0.302,0.361,0.099,0.022,0.155,0.001,0.042,0.005,0,,0.297,0.363,0.116,0.027,0.138,0,0.041,0.005,0,,-0.005,0.002,0.017,0.005,-0.017,-0.001,-0.001,0,0
NCRN_GWMP_SPRU,Spout Run,4.497,3.225,8.828,46.61764706,16.932,,123.0270718,228.1384345,,8042.217188,25876.42344,34642.10391,26650.36055,64236.78984,31047.76992,21017.70195,42911.81328,24101.37969,12983.90781,10697.60391,22044.07969,13616.87324,21072.8832,11142.14141,15278.18477,14207.36094,18990.34883,42889.55156,21963.98281,9565.975195,27407.77695,52785.93438,86109.50938,73929.10781,64011.78906,81916.74063,68820.18984,,0.163,0.374,0.281,0.148,0.013,0.001,0.013,0.002,0,,0.154,0.368,0.292,0.154,0.013,0.001,0.013,0.001,0,,-0.009,-0.006,0.011,0.006,0,0,0,-0.001,0
